id,effective_from,effective_to,creator_id,modifier_id,created,modified,polymorphic_ctype_id,name,description,leader_id,association,active
14,2016-02-03 13:12:15.692397+08:00,,4,1,2016-02-03 13:12:15.692428+08:00,2018-07-04 16:05:11.150863+08:00,39,<p>Wildlife licensing</p>,"<ul>
<li>Issues commercial and hobby licences to ensure sustainable use of plants and animals under the Wildlife Conservation Act</li>
<li>Issues and manages scientific licences under the Wildlife Conservation Act that are largely used by industry to inform environmental impact assessment and environmental management</li>
<li>Ensures scientific and other departmental programs meet requirements of the Animal Welfare Act through the Animal Ethics Committee</li>
<li>Delivers animal ethics services to external partners, such as the WA Museum and Australian Wildlife Conservancy</li>
</ul>",,"<ul>
<li>Nature Protection Branch</li>
<li>Species and Communities Branch</li>
</ul>",False
20,2016-02-03 13:21:53.095819+08:00,,4,1,2016-02-03 13:21:53.095850+08:00,2018-07-04 16:05:26.283244+08:00,39,<p>Voluntary Conservation Covenants Program</p>,"<ul>
<li>Manages the preparation of conditioned covenants under the Transfer of land Act, and voluntary covenants, to protect biodiversity on private land</li>
</ul>",,"<ul>
<li>Species and Communities Branch</li>
</ul>",False
15,2016-02-03 13:13:06.477215+08:00,,4,1,2016-02-03 13:13:06.477245+08:00,2018-07-04 16:05:29.611986+08:00,39,<p>Statutory development approvals and advice</p>,"<ul>
<li>Manages and provides statutory advice and technical advice to agencies, Ministers and private industry relating to developments and activities affecting natural values protected under the CALM Act and Wildlife Conservation Act</li>
</ul>",,"<ul>
<li>Environmental Management Branch</li>
</ul>",False
26,2018-07-04 16:18:16.113892+08:00,,1,1,2018-07-04 16:18:16.113918+08:00,2018-07-04 16:18:16.115587+08:00,39,<p>Off reserve conservation</p>,,,,True
27,2018-07-04 16:29:56.663990+08:00,,1,1,2018-07-04 16:29:56.664014+08:00,2018-07-04 16:29:56.665570+08:00,39,<p>Restoration ecology</p>,,,,True
28,2018-07-04 16:30:08.054273+08:00,,1,1,2018-07-04 16:30:08.054299+08:00,2018-07-04 16:30:08.056040+08:00,39,<p>Biotechnology</p>,,,,True
29,2018-07-04 16:30:23.762769+08:00,,1,1,2018-07-04 16:30:23.762792+08:00,2018-07-04 16:30:23.764334+08:00,39,<p>Seed biology</p>,,,,True
30,2018-07-04 16:30:43.701266+08:00,,1,1,2018-07-04 16:30:43.701290+08:00,2018-07-04 16:30:43.702820+08:00,39,<p>Native animal breeding and husbandry</p>,,,,True
31,2018-07-04 16:31:07.394758+08:00,,1,1,2018-07-04 16:31:07.394782+08:00,2018-07-04 16:31:07.397676+08:00,39,<p>Remote Sensing and Spatial Analysis</p>,,100448,,True
32,2018-07-04 16:31:24.626938+08:00,,1,1,2018-07-04 16:31:24.626962+08:00,2018-07-04 16:31:24.628446+08:00,39,<p>Rivers and Estuaries monitoring</p>,,,,True
9,2015-08-10 18:56:24.075093+08:00,,1,100934,2015-08-10 18:56:24.075138+08:00,2023-01-17 11:27:40.097331+08:00,39,"<p align=""left"">Animal and plant data management and distribution</p>","<ul>
<li>Provides departmental and public access to biological data and information on animal and plant distributions under the Wildlife Conservation Act, which informs environmental impact assessment and environmental management</li>
<li>Manages the conservation library to provide access to information by staff and the public under the Records Act</li>
</ul>",15,"<ul>
<li>Science Support</li>
</ul>",False
13,2016-02-03 13:09:59.447847+08:00,,4,100934,2016-02-03 13:09:59.447875+08:00,2023-01-17 16:05:20.894565+08:00,39,<p>Wildlife compliance</p>,"<ul>
<li>Ensures compliance with the Wildlife Conservation Act to protect native animals and plants</li>
<li>Manages public concerns caused by wildlife and provides advice, support and training regarding sick or stranded wildlife, including marine mammals</li>
<li>Supports wildlife carers</li>
<li>Responds to wildlife emergencies</li>
<li>Assists in managing public and visitor risk from animals</li>
<li>Processes breach reports, prosecutes offences and provides legal advice and support to staff</li>
</ul>",,"<ul>
<li>Nature Protection Branch</li>
</ul>",False
